SKU,pick_count,total_quantity_picked,movement_frequency
AS-32249,198,9769,198
AS-32287,105,8715,105
AS-32423,146,2133,146
AS-32447,88,2519,88
AS-80101,1692,22929,1692
AS-80190,2226,24920,2226
AS-80211,2221,32458,2221
ASHY51352,4,8,4
C098815153,117,3075,117
C098815178,130,3289,130
C098815186,83,2567,83
C098815194,81,1086,81
C098815228,150,3768,150
C098815236,81,1940,81
C098815244,120,3337,120
C098815293,800,14590,800
C2-10566,1,0,1
C2-16524,349,5318,349
C2-16527,301,5089,301
C2-16529,100,1632,100
C2-17938,272,3918,272
C2-17947,205,3054,205
C2-17948,99,1424,99
C2-19085,157,2539,157
C2-19086,111,1605,111
C2-19087,177,2628,177
C2-19088,121,1874,121
C2-21039,77,1196,77
C2-21046,9,144,9
C2-21053,112,1756,112
C7-15347,147,3131,147
C7-15348,140,2363,140
C7-15395,328,5594,328
C7-15396,116,1661,116
C7-15397,84,1440,84
C7-15398,5,90,5
C7-15624,50,820,50
C7-15625,72,776,72
C7-15626,116,2055,116
C7-15627,48,908,48
C704831237,27,654,27
C8-1151,866,41400,866
C8-1152,712,29847,712
C8-1153,751,22686,751
C8-1154,291,8106,291
C8-1249,62,1140,62
C8-1256,65,1122,65
C8-18186,97,1344,97
C8-18187,172,2823,172
C8-18189,51,762,51
C8-1907,2652,215394,2652
C8-1908,2836,268796,2836
C8-4193,133,6190,133
C8-4459,2487,134764,2487
C8-5925,1978,107208,1978
C8-5926,1241,57874,1241
C8-60167,599,10128,599
C8-60667,384,4981,384
C8-6912,20,73,20
C8-8217,11,191,11
C8-9238,25,408,25
C8-977164,83,4081,83
C8-977194,41,1632,41
C8-977205,40,612,40
C8-977206,28,420,28
C8-977207,66,918,66
C8-977214,39,1428,39
C8-977374,37,946,37
C8-977384,38,1140,38
C896917167,90,2752,90
C896917423,26,1776,26
C896917431,3257,232386,3257
C896917449,3630,252371,3630
C896917472,5287,437465,5287
CM-0220,135,1091,135
CM-0237,524,6082,524
CM-0244,213,2849,213
CM-0404,133,1819,133
CM-0497,98,1258,98
CM-1066,119,1668,119
CM-1073,188,3629,188
CM-1080,444,1055,444
CM-111128,5487,269298,5487
CM-111142,5124,102221,5124
CM-111326,5576,194314,5576
CM-111340,4443,76253,4443
CM-111524,4642,153359,4642
CM-111548,4439,77273,4439
CM-111722,5259,180134,5259
CM-111746,4989,86991,4989
CM-111814,3230,32959,3230
CM-111821,1847,13688,1847
CM-111968,35,472,35
CM-112910,2230,33817,2230
CM-113122,844,6092,844
CM-113146,2951,45873,2951
CM-113184,684,5804,684
